billing_date,cust_id,product_id,revenue,active_users,total_logins,api_calls,storage_used_gb,support_tickets,response_time_hrs,feature_usage_score,customer_satisfaction,training_sessions,integration_count,data_processed_tb,uptime_percentage,performance_score,target,subscription_health_score,user_engagement_index,retention_probability
2023-01-31,CUST_0001,prod_10,881.07,193.0,1060.0,37062.0,155.5,8.0,2.1,0.47,5.5,5.0,27.0,20.2,98.87,0.7,0,0.9830444847182692,88.00990548420022,0.7775980177360846
2023-02-28,CUST_0001,prod_10,511.15,217.0,1492.0,4065.0,47.2,11.0,12.3,1.03,6.8,11.0,12.0,5.8,97.91,0.8,0,0.9617456237772232,95.91238104939576,0.8784542016834715
2023-03-31,CUST_0001,prod_10,1867.32,213.0,72.0,10573.0,321.2,7.0,-0.4,0.3,5.9,1.0,14.0,25.6,97.72,0.61,0,0.9319271610528858,95.46279566673408,0.910594057043026
2023-04-30,CUST_0001,prod_10,1086.64,120.0,487.1208746307052,10492.0,121.26130392737936,9.0,26.5,0.5896956898512135,8.4,0.6834333300955173,25.0,10.24043960417988,99.63,0.28,0,0.9932749961252128,98.41550122529834,0.8662594447947377
2023-05-31,CUST_0001,prod_10,955.91,20.0,171.0,2749.0,145.4,5.0,13.6,0.82,8.6,1.0,17.0,15.2,96.91,1.29,0,0.9916085171155544,89.73748793691304,0.7908883102245946
2023-06-30,CUST_0001,prod_10,700.1,52.0,26.89842822701108,7460.0,47.44730376741278,14.0,10.0,0.52,5.557402192514652,2.0,6.0,3.9,97.35,0.4322412382359867,0,0.9470019065534856,96.0007477453858,0.8943495664933453
2023-07-31,CUST_0001,prod_10,1597.33,140.0,804.0,21969.0,72.7,8.0,17.8,1.01,5.9,0.0,7.0,1.5,120.01,0.93,0,0.9627955469955488,87.69035444533,0.9310944943388746
2023-08-31,CUST_0001,prod_10,3472.01,12.0,699.0,1797.0,141.6,7.0,28.1,0.67,8.5,2.0,13.0,16.9,99.33,0.93,0,0.9228125430563052,83.8787042220149,0.8420319558677967
2023-09-30,CUST_0001,prod_10,2109.52,175.0,842.0,12976.0,26.6,3.0,14.4,0.64,6.1,1.0,5.0,8.6,99.13,0.54,0,0.9072883162950328,94.58841701038804,0.8806745190286638
2023-10-31,CUST_0001,prod_10,1001.85,65.0,1649.0,15300.0,106.4,4.0,9.0,0.34,7.4,3.0,6.0,8.7,99.44,0.67,0,0.9969606079390698,97.27999061212203,0.8266993827133744
